X;Y;X_COORD;Y_COORD;ADMI4;ADMI5;TOPONYMIE;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3;ID_4;NAME_4;VARNAME_4;CCN_4;CCA_4;TYPE_4;ENGTYPE_4;Code_uniqu;urban_popR;urban_popD;urban_popA;urban_popC;urban_popP;urban_po_1;urban_po_2;urban_po_3;urban_po_4;urban_po_5;urban_po_6;urban_po_7;urban_po_8;CU_ville;X_wgs84;Y_wgs84
-16.58988329;14.28036778;328498;1579321;3123;3123014;Nguessine;201;SEN;Senegal;3;Fatick;8;Fatick;19;Fimela;87;Loul Sessene;;912020;9120202;Commune;Commune;Fatick/Fatick/Fimela/Loul Sessene;Fatick;Fatick;Fimela;CR LOUL SESSENE;7646;12410;1490;;;;;;;;;
-16.60606739;14.41849548;326858;1594615;3143;3143015;Tattaguine Serere;201;SEN;Senegal;3;Fatick;8;Fatick;22;Tattaguine;98;Tattaguine;;912040;9120403;Commune;Commune;Fatick/Fatick/Tattaguine/Tattaguine;Fatick;Fatick;Tattaguine;CR TATTAGUINE;1;;;;;;;;;;;
-16.51407416;14.53419528;336862;1607348;9141;9141023;Gadiack Ii;201;SEN;Senegal;3;Fatick;8;Fatick;22;Tattaguine;96;Diarrere;;912040;9120401;Commune;Commune;Fatick/Fatick/Tattaguine/Diarrere;Fatick;Fatick;Tattaguine;CR DIARRERE;37459;20177;242;;;;;;;;;
-16.37098758;14.42699261;352211;1595391;9132;9132030;Bibane;201;SEN;Senegal;3;Fatick;8;Fatick;21;Niakhar;94;Niakhar;;912030;9120302;Commune;Commune;Fatick/Fatick/Niakhar/Niakhar;Fatick;Fatick;Niakhar;CR NIAKHAR;11536;17835;21421.92118;;;;;;;;;
-16.40923344;14.46900766;348116;1600064;9132;9132031;Ngoyere;201;SEN;Senegal;3;Fatick;8;Fatick;21;Niakhar;94;Niakhar;;912030;9120302;Commune;Commune;Fatick/Fatick/Niakhar/Niakhar;Fatick;Fatick;Niakhar;CR NIAKHAR;11536;17835;21421.92118;;;;;;;;;
-16.42246086;14.44404315;346673;1597311;9132;9132032;Poleck;201;SEN;Senegal;3;Fatick;8;Fatick;21;Niakhar;94;Niakhar;;912030;9120302;Commune;Commune;Fatick/Fatick/Niakhar/Niakhar;Fatick;Fatick;Niakhar;CR NIAKHAR;11536;17835;21421.92118;;;;;;;;;
-16.42620777;14.48902657;346300;1602290;9132;9132027;Sateme;201;SEN;Senegal;3;Fatick;8;Fatick;21;Niakhar;94;Niakhar;;912030;9120302;Commune;Commune;Fatick/Fatick/Niakhar/Niakhar;Fatick;Fatick;Niakhar;CR NIAKHAR;11536;17835;21421.92118;;;;;;;;;
-16.32680228;14.61560065;357096;1616228;2222;2222027;Ndjisse;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;66;Ngohe;;322020;3220202;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ngohe;Diourbel;Diourbel;Ndoulo;CR NGOHE;10026;15504;19476.31524;;;;;;;;;
-16.1822531;14.61419082;372666;1615986;2224;2224040;Sebane;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;68;Tocky Gare;;322020;3220204;Commune;Commune;Diourbel/Diourbel/Ndoulo/Tocky Gare;Diourbel;Diourbel;Ndoulo;CR TOCKY;9597;10896;13687;;;;;;;;;
-16.16253386;14.57687378;374769;1611847;2224;2224035;Ngomene;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;68;Tocky Gare;;322020;3220204;Commune;Commune;Diourbel/Diourbel/Ndoulo/Tocky Gare;Diourbel;Diourbel;Ndoulo;CR TOCKY;9597;10896;13687;;;;;;;;;
-16.16335425;14.59876437;374693;1614269;2224;2224036;Ngoule;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;68;Tocky Gare;;322020;3220204;Commune;Commune;Diourbel/Diourbel/Ndoulo/Tocky Gare;Diourbel;Diourbel;Ndoulo;CR TOCKY;9597;10896;13687;;;;;;;;;
-16.05222967;14.64813593;386689;1619672;2221;2221050;Mbacke Mbayard;201;SEN;Senegal;2;Diourbel;7;Mbacke;16;Kael;75;Ndioumane Taiba Thiekene;;332010;3320105;Commune;Commune;Diourbel/Mbacke/Kael/Ndioumane Taiba Thiekene;Diourbel;Mbacke;Kael;CR;;;;;;;;;;;;
-16.10015058;14.64065513;381524;1618869;2223;2223023;Ndoudoye;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;67;Patar;;322020;3220203;Commune;Commune;Diourbel/Diourbel/Ndoulo/Patar;Diourbel;Diourbel;Ndoulo;CR PATAR;10105;11182;14046.96575;;;;;;;;;
-16.10092681;14.65293688;381447;1620228;2223;2223007;Guiry Mbaye;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;67;Patar;;322020;3220203;Commune;Commune;Diourbel/Diourbel/Ndoulo/Patar;Diourbel;Diourbel;Ndoulo;CR PATAR;10105;11182;14046.9657;;;;;;;;;
-16.37160277;14.71559535;352337;1627319;2134;2134000;Darou Saloum Gom;201;SEN;Senegal;2;Diourbel;5;Bambey;13;Ngoye;58;Thiakhar;;312030;3120304;Commune;Commune;Diourbel/Bambey/Ngoye/Thiakhar;Diourbel;Bambey;Ngoye;CR THIAKHAR;14732;18189;22786;;;;;;;;;
-16.18740959;14.93814762;372300;1651826;2214;2214041;Touba Coki;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;62;Ndindy;;322010;3220103;Commune;Commune;Diourbel/Diourbel/Ndindy/Ndindy;Diourbel;Diourbel;Ndindy;CR NDINDY;12450;13365;16789.27;;;;;;;;;
-16.27492409;14.82913155;362818;1639818;2212;2212026;Keur Brima Ndao;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;61;Keur Ngalgou;;322010;3220104;Commune;Commune;Diourbel/Diourbel/Ndindy/Keur Ngalgou;Diourbel;Diourbel;Ndindy;CR KEUR NGALG;;;;;;;;;;;;
-16.51992152;14.82877344;336451;1639943;2122;2122054;Diama Thiade;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;52;Lambaye;;312020;3120202;Commune;Commune;Diourbel/Bambey/Lambaye/Lambaye;Diourbel;Bambey;Lambaye;CR LAMBAYE;15640;22568;28272;;;;;;;;;
-16.53408795;14.80591134;334909;1637424;2122;2122055;Lambaye Peye (Peye Lambaye);201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;52;Lambaye;;312020;3120202;Commune;Commune;Diourbel/Bambey/Lambaye/Lambaye;Diourbel;Bambey;Lambaye;CR LAMBAYE;156;;;;;;;;;;;
-16.52658897;14.77911656;335696;1634454;2122;2122052;Merina Ndialique;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;52;Lambaye;;312020;3120202;Commune;Commune;Diourbel/Bambey/Lambaye/Lambaye;Diourbel;Bambey;Lambaye;CR LAMBAYE;15640;22568;28;;;;;;;;;
-16.58742982;14.25162291;328741;1576139;3123;3123013;Ndoff;201;SEN;Senegal;3;Fatick;8;Fatick;19;Fimela;87;Loul Sessene;;912020;9120202;Commune;Commune;Fatick/Fatick/Fimela/Loul Sessene;Fatick;Fatick;Fimela;CR LOUL SESSENE;7646;12410;14905.86;;;;;;;;;
-16.61406315;14.87788761;326358;1645448;2113;2113058;Ndiarno Rickadji Ii;201;SEN;Senegal;2;Diourbel;5;Bambey;11;Baba Garage;50;Keur Samba Kane;;312010;3120103;Commune;Commune;Diourbel/Bambey/Baba Garage/Keur Samba Kane;Diourbel;Bambey;Baba-ga;;;;;;;;;;;;;
-16.47284172;14.79171338;341491;1635809;2123;2123037;Mbodiene;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;52;Lambaye;;312020;3120202;Commune;Commune;Diourbel/Bambey/Lambaye/Lambaye;Diourbel;Bambey;Lambaye;CR LAMBAYE;15640;22568;28272.7575;;;;;;;;;
-16.4776873;14.72650371;340922;1628598;2122;2122050;Keur Khaly Moustapha;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;2;;;;;;;;;
-16.44732261;14.71738543;344185;1627568;2123;2123034;Niokette;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;21889.83923;;;;;;;;;
-16.42641807;14.74459588;346455;1630564;2122;2122049;Keur Segue Ndiaye;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;2188;;;;;;;;;
-16.51963164;14.71492485;336397;1627347;2123;2123040;Seo Ii;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;53;Ngogom;;312020;3120203;Commune;Commune;Diourbel/Bambey/Lambaye/Ngogom;Diourbel;Bambey;Lambaye;CR NGOGOM;12243;17473;21889.83923;;;;;;;;;
-16.61940289;14.78996251;325713;1635724;2124;2124026;Ndiodiom Faye Et Gning;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;;;;;;;;;;
-16.59474306;14.82222941;328393;1639275;2124;2124025;Ngouye Goundaw;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.8;;;;;;;;;
-16.59697705;14.78854622;328126;1635550;2124;2124023;Nianiar;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.84055;;;;;;;;;
-16.58822071;14.77626933;329059;1634185;2124;2124022;Ndiarno;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.84055;;;;;;;;;
-16.59265053;14.77485594;328581;1634032;2124;2124021;Mbafaye;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.84055;;;;;;;;;
-16.59399239;14.76652236;328430;1633111;2124;2124024;Bokh;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.84055;;;;;;;;;
-16.58649863;14.75912633;329231;1632287;2124;2124020;Sassar;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.84055;;;;;;;;;
-16.56761518;14.75648041;331262;1631980;2124;2124028;Ndoundour;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.84055;;;;;;;;;
-16.57652175;14.7499212;330298;1631261;2124;2124019;Ndiogone;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;54;Refane;;312020;3120204;Commune;Commune;Diourbel/Bambey/Lambaye/Refane;Diourbel;Bambey;Lambaye;CR REFANE;13852;18822;23579.84055;;;;;;;;;
-16.60731902;14.77504349;327002;1634064;2124;2124037;Ngogom (Cr Ndiayene);201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;;;;;;;;;;;
-17.04446763;14.80037557;279961;1637250;10213;10213002;Galane;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;384;Keur Moussa;;722030;7220303;Commune;Commune;Thies/Thies/Keur Moussa/Keur Moussa;Thies;Thies;Keur Moussa;CR KEUR MOUSSA;20001;;;;;;;;;;;
-17.19196709;14.79705902;264076;1637033;1411;1411028;Diacksao;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;42;Bambilor;;132010;1320102;Commune;Commune;Dakar/Rufisque/Bambilor/Bambilor;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Bambilor/Diacksao;-;
-17.16685833;14.78993233;266772;1636218;1411;1411014;Mbeuth;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;42;Bambilor;;132010;1320102;Commune;Commune;Dakar/Rufisque/Bambilor/Bambilor;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Bambilor/Mbeuth;-17.16;
-17.21296398;14.80611973;261825;1638058;1411;1411018;Nguindouf;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;42;Bambilor;;132010;1320102;Commune;Commune;Dakar/Rufisque/Bambilor/Bambilor;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Bambilor/Nguindouf;;
-17.25722395;14.77353379;257023;1634499;1411;1411027;Dara Thioub;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;42;Bambilor;;132010;1320102;Commune;Commune;Dakar/Rufisque/Bambilor/Bambilor;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Bambilor/Dara Th;;
-17.22818848;14.76908138;260145;1633975;1411;1411026;Ndiakhirate digue;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;42;Bambilor;;132010;1320102;Commune;Commune;Dakar/Rufisque/Bambilor/Bambilor;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Bambilor/N;;
-17.24957608;14.74046693;257810;1630831;1411;1411010;Keur Daour Sarr;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;42;Bambilor;;132010;1320102;Commune;Commune;Dakar/Rufisque/Bambilor/Bambilor;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Bambilor/Keu;;
-16.60013493;15.10335175;328037;1670383;10322;10322018;Kery Ndiobene;201;SEN;Senegal;13;Thies;42;Tivaouane;113;Merina Dakhar;397;Koul;;732020;7320201;Commune;Commune;Thies/Tivaouane/Merina Dakhar/Koul;Thies;Tivaouane;Merina Ndakhar;CR KOUL;1;;;;;;;;;;;
-16.45903111;15.06911827;343179;1666490;10323;10323001;Bakhdass Ii;201;SEN;Senegal;13;Thies;42;Tivaouane;113;Merina Dakhar;399;Pekesse;;732020;7320203;Commune;Commune;Thies/Tivaouane/Merina Dakhar/Pekesse;Thies;Tivaouane;Merina Ndakhar;CR PE;;;;;;;;;;;;
-16.44955456;15.06532858;344195;1666064;10333;10333021;Khatta Meoundou;201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;402;Niakhene;;732030;7320303;Commune;Commune;Thies/Tivaouane/Niakhene/Niakhene;Thies;Tivaouane;Niakhene;CR NIAKHENE;9244;;;;;;;;;;;
-16.45272131;15.08374715;343868;1668104;10333;10333046;Ndome Khatta;201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;402;Niakhene;;732030;7320303;Commune;Commune;Thies/Tivaouane/Niakhene/Niakhene;Thies;Tivaouane;Niakhene;CR NIAKHENE;9244;9;;;;;;;;;;
-16.45186598;15.08382494;343960;1668112;10333;10333043;Ndiayene Khatta;201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;402;Niakhene;;732030;7320303;Commune;Commune;Thies/Tivaouane/Niakhene/Niakhene;Thies;Tivaouane;Niakhene;CR NIAKHENE;924;;;;;;;;;;;
-16.32252599;15.10467456;357877;1670331;10323;10323005;Coky Mbacol;201;SEN;Senegal;13;Thies;42;Tivaouane;113;Merina Dakhar;399;Pekesse;;732020;7320203;Commune;Commune;Thies/Tivaouane/Merina Dakhar/Pekesse;Thies;Tivaouane;Merina Ndakhar;CR PE;;;;;;;;;;;;
-16.27769784;15.19757441;362755;1680580;10331;10331011;Gouyard I;201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;400;Mbayene;;732030;7320301;Commune;Commune;Thies/Tivaouane/Niakhene/Mbayene;Thies;Tivaouane;Niakhene;CR MBAYENE;8492;7563;95;;;;;;;;;
-16.29789443;15.20480759;360590;1681393;10331;10331063;Darou Gouyard;201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;400;Mbayene;;732030;7320301;Commune;Commune;Thies/Tivaouane/Niakhene/Mbayene;Thies;Tivaouane;Niakhene;CR MBAYENE;8492;756;;;;;;;;;;
-16.47251155;15.30160045;341903;1692221;10332;10332104;Ndakh;201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;401;Ngandiouf;;732030;7320302;Commune;Commune;Thies/Tivaouane/Niakhene/Ngandiouf;Thies;Tivaouane;Niakhene;CR NGANDIOUF;16406;1862;;;;;;;;;;
-16.48832646;15.27693856;340186;1689504;10332;10332030;Guedji (Ndiene Dakhar);201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;401;Ngandiouf;;732030;7320302;Commune;Commune;Thies/Tivaouane/Niakhene/Ngandiouf;Thies;Tivaouane;Niakhene;CR NGA;;;;;;;;;;;;
-16.44710624;15.24025018;344586;1685415;10332;10332103;Koul Syll;201;SEN;Senegal;13;Thies;42;Tivaouane;114;Niakhene;401;Ngandiouf;;732030;7320302;Commune;Commune;Thies/Tivaouane/Niakhene/Ngandiouf;Thies;Tivaouane;Niakhene;CR NGANDIOUF;16406;;;;;;;;;;;
-16.5114548;15.2626026;337691;1687935;10322;10322044;Loyene Yirou;201;SEN;Senegal;13;Thies;42;Tivaouane;113;Merina Dakhar;398;Merina Dakhar;;732020;7320202;Commune;Commune;Thies/Tivaouane/Merina Dakhar/Merina Dakhar;Thies;Tivaouane;Merina N;;;;;;;;;;;;;
-16.47280545;15.15647711;341763;1676165;10322;10322001;Bayakh I;201;SEN;Senegal;13;Thies;42;Tivaouane;113;Merina Dakhar;398;Merina Dakhar;;732020;7320202;Commune;Commune;Thies/Tivaouane/Merina Dakhar/Merina Dakhar;Thies;Tivaouane;Merina Ndak;;;;;;;;;;;;;
-16.46837778;15.15000727;342234;1675446;10322;10322041;Ndiop Botal;201;SEN;Senegal;13;Thies;42;Tivaouane;113;Merina Dakhar;398;Merina Dakhar;;732020;7320202;Commune;Commune;Thies/Tivaouane/Merina Dakhar/Merina Dakhar;Thies;Tivaouane;Merina N;;;;;;;;;;;;;
-16.46837616;15.14977228;342234;1675420;10322;10322105;Keur Mballo;201;SEN;Senegal;13;Thies;42;Tivaouane;113;Merina Dakhar;398;Merina Dakhar;;732020;7320202;Commune;Commune;Thies/Tivaouane/Merina Dakhar/Merina Dakhar;Thies;Tivaouane;Merina N;;;;;;;;;;;;;
-16.70397899;15.04806922;316827;1664350;10312;10312094;Darou Miname;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;394;Meouane;;732010;7320101;Commune;Commune;Thies/Tivaouane/Meouane/Meouane;Thies;Tivaouane;Meouane;CR MEOUANE;18452;21898;;;;;;;;;;
-16.65828975;15.19207305;321860;1680246;10312;10312096;Touba Fall;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;394;Meouane;;732010;7320101;Commune;Commune;Thies/Tivaouane/Meouane/Meouane;Thies;Tivaouane;Meouane;CR MEOUANE;18452;21898;277;;;;;;;;;
-16.76137187;15.08000337;310684;1667932;10312;10312095;Tawa Fall;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;394;Meouane;;732010;7320101;Commune;Commune;Thies/Tivaouane/Meouane/Meouane;Thies;Tivaouane;Meouane;CR MEOUANE;18452;21898;277;;;;;;;;;
-16.78956989;15.03394501;307611;1662860;10312;10312035;Kithiane;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;394;Meouane;;732010;7320101;Commune;Commune;Thies/Tivaouane/Meouane/Meouane;Thies;Tivaouane;Meouane;CR MEOUANE;18452;21898;2775;;;;;;;;;
-16.7867493;15.0201852;307902;1661335;10344;10344088;Thisse Ii;201;SEN;Senegal;13;Thies;42;Tivaouane;115;Pambal;408;Pire Goureye;;732040;7320404;Commune;Commune;Thies/Tivaouane/Pambal/Pire Goureye;Thies;Tivaouane;Pambal;CR PIRE GOUREYE;113;;;;;;;;;;;
-16.76420733;15.04256627;310346;1663792;10344;10344083;Thiambene;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;394;Meouane;;732010;7320101;Commune;Commune;Thies/Tivaouane/Meouane/Meouane;Thies;Tivaouane;Meouane;CR MEOUANE;18452;21898;277;;;;;;;;;
-16.80024049;15.10856293;306531;1671126;10312;10312000;Keur Ballal Sow;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;394;Meouane;;732010;7320101;Commune;Commune;Thies/Tivaouane/Meouane/Meouane;Thies;Tivaouane;Meouane;CR MEOUANE;18452;218;;;;;;;;;;
-16.87189628;15.07890939;298800;1667909;10311;10311078;Dakhar Laye;201;SEN;Senegal;13;Thies;42;Tivaouane;112;Mequane;396;Darhou Khoudoss;;732010;7320103;Commune;Commune;Thies/Tivaouane/Mequane/Darhou Khoudoss;Thies;Tivaouane;Meouane;CR MBORO;;;;;;;;;;;;
-16.86798056;15.11188147;299252;1671554;10311;10311074;Thisse I;201;SEN;Senegal;13;Thies;42;Tivaouane;112;Mequane;396;Darhou Khoudoss;;732010;7320103;Commune;Commune;Thies/Tivaouane/Mequane/Darhou Khoudoss;Thies;Tivaouane;Meouane;CR MBORO;25;;;;;;;;;;;
-16.8674393;15.11381081;299312;1671767;10311;10311068;Tanime;201;SEN;Senegal;13;Thies;42;Tivaouane;112;Mequane;396;Darhou Khoudoss;;732010;7320103;Commune;Commune;Thies/Tivaouane/Mequane/Darhou Khoudoss;Thies;Tivaouane;Meouane;CR MBORO;25079;;;;;;;;;;;
-16.87371055;15.1160995;298640;1672026;10311;10311077;Keur Aliou Fall;201;SEN;Senegal;13;Thies;42;Tivaouane;112;Mequane;396;Darhou Khoudoss;;732010;7320103;Commune;Commune;Thies/Tivaouane/Mequane/Darhou Khoudoss;Thies;Tivaouane;Meouane;CR M;;;;;;;;;;;;
-16.90387147;15.07465774;295358;1667468;10313;10313035;Keur Demba Diallo;201;SEN;Senegal;13;Thies;42;Tivaouane;112;Mequane;396;Darhou Khoudoss;;732010;7320103;Commune;Commune;Thies/Tivaouane/Mequane/Darhou Khoudoss;Thies;Tivaouane;Meouane;CR ;;;;;;;;;;;;
-16.90578829;15.0820699;295159;1668290;10313;10313033;Darou Dia;201;SEN;Senegal;13;Thies;42;Tivaouane;112;Mequane;396;Darhou Khoudoss;;732010;7320103;Commune;Commune;Thies/Tivaouane/Mequane/Darhou Khoudoss;Thies;Tivaouane;Meouane;CR MBORO;2;;;;;;;;;;;
-16.92575906;15.07300888;293003;1667306;10313;10313036;Keur Saliou Ba;201;SEN;Senegal;13;Thies;42;Tivaouane;112;Mequane;396;Darhou Khoudoss;;732010;7320103;Commune;Commune;Thies/Tivaouane/Mequane/Darhou Khoudoss;Thies;Tivaouane;Meouane;CR MB;;;;;;;;;;;;
-16.93992311;15.06067053;291468;1665954;10313;10313034;Thieno Ndiaye;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;395;Taiba Ndiaye;;732010;7320102;Commune;Commune;Thies/Tivaouane/Meouane/Taiba Ndiaye;Thies;Tivaouane;Meouane;CR TAIBA NDI;;;;;;;;;;;;
-16.94246016;15.0584258;291193;1665708;10313;10313037;Balle Gueye;201;SEN;Senegal;13;Thies;42;Tivaouane;111;Meouane;395;Taiba Ndiaye;;732010;7320102;Commune;Commune;Thies/Tivaouane/Meouane/Taiba Ndiaye;Thies;Tivaouane;Meouane;CR TAIBA NDIAY;;;;;;;;;;;;
-16.67356793;14.93215877;320000;1651500;2113;2113020;Keur Aliou Diop (K. Sylla);201;SEN;Senegal;2;Diourbel;5;Bambey;11;Baba Garage;50;Keur Samba Kane;;312010;3120103;Commune;Commune;Diourbel/Bambey/Baba Garage/Keur Samba Kane;Diourbel;Bambey;;;;;;;;;;;;;;
-16.86209044;14.90558686;299693;1648721;10341;10341051;Ngueyene Gora;201;SEN;Senegal;13;Thies;42;Tivaouane;115;Pambal;404;Cherif Lo;;732040;7320401;Commune;Commune;Thies/Tivaouane/Pambal/Cherif Lo;Thies;Tivaouane;Pambal;CR CHERIF LO;11173;15;;;;;;;;;;
-16.84555672;14.91530015;301481;1649781;10341;10341065;Ndiene;201;SEN;Senegal;13;Thies;42;Tivaouane;115;Pambal;404;Cherif Lo;;732040;7320401;Commune;Commune;Thies/Tivaouane/Pambal/Cherif Lo;Thies;Tivaouane;Pambal;CR CHERIF LO;11173;15148;191;;;;;;;;;
-16.84359885;14.92766076;301703;1651147;10341;10341027;Keur Mawa Diop (Cr. Pire);201;SEN;Senegal;13;Thies;42;Tivaouane;115;Pambal;404;Cherif Lo;;732040;7320401;Commune;Commune;Thies/Tivaouane/Pambal/Cherif Lo;Thies;Tivaouane;Pambal;CR CHERIF;;;;;;;;;;;;
-16.87665691;14.88564964;298107;1646528;10341;10341068;Thiafathie;201;SEN;Senegal;13;Thies;42;Tivaouane;115;Pambal;404;Cherif Lo;;732040;7320401;Commune;Commune;Thies/Tivaouane/Pambal/Cherif Lo;Thies;Tivaouane;Pambal;CR CHERIF LO;11173;15148;;;;;;;;;;
-16.82881575;14.87864376;303249;1645710;10341;10341022;Keur Mandeme;201;SEN;Senegal;13;Thies;42;Tivaouane;115;Pambal;404;Cherif Lo;;732040;7320401;Commune;Commune;Thies/Tivaouane/Pambal/Cherif Lo;Thies;Tivaouane;Pambal;CR CHERIF LO;11173;151;;;;;;;;;;
-16.73933127;14.94602872;312937;1653089;10341;10341064;Keur Deo Ngone (Nguimbe);201;SEN;Senegal;13;Thies;42;Tivaouane;115;Pambal;408;Pire Goureye;;732040;7320404;Commune;Commune;Thies/Tivaouane/Pambal/Pire Goureye;Thies;Tivaouane;Pambal;CR P;;;;;;;;;;;;
-16.9744583;14.7875214;287486;1635760;10212;10212001;Daral Peulh;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;384;Keur Moussa;;722030;7220303;Commune;Commune;Thies/Thies/Keur Moussa/Keur Moussa;Thies;Thies;Keur Moussa;CR KEUR MOUSSA;2;;;;;;;;;;;
-17.14963028;14.7671968;268603;1633684;1412;1412017;Ndoyene I;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;44;Yene;;132010;1320101;Commune;Commune;Dakar/Rufisque/Bambilor/Yene;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Yene/Ndoyene I;-17.1496302;
-17.1771354;14.73735619;265609;1630410;1412;1412001;Deny Babacar Diop;201;SEN;Senegal;1;Dakar;4;Rufisque;9;Bambilor;44;Yene;;132010;1320101;Commune;Commune;Dakar/Rufisque/Bambilor/Yene;;;;;;;;;;;;;;Dakar/Rufisque/Bambilor/Yene/Deny Babacar ;;
