DATE EVENT;X;Y;EVENT;VALUES_1;VALUES_2;COMMENTS;
05/11/2018;-14.425881;16.488598;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.426862;16.487996;Mus musculus;M;;2020.11.10 M.Sall ;
05/11/2018;-14.426831;16.487976;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.426847;16.488041;Mus musculus;M;;2020.11.10 M.Sall ;
05/11/2018;-14.428985;16.48734;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.429039;16.487374;Mus musculus;M;;2020.11.10 M.Sall ;
05/11/2018;-14.429039;16.487374;Mus musculus;M;;2020.11.10 M.Sall ;
05/11/2018;-14.429906;16.487363;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.433514;16.480456;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.433164;16.48317;Mus musculus;M;;2020.11.10 M.Sall ;
05/11/2018;-14.432311;16.484767;Mus musculus;M;;2020.11.10 M.Sall ;
05/11/2018;-14.432311;16.484767;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.432388;16.484955;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.433872;16.487059;Mus musculus;F;;2020.11.10 M.Sall ;
05/11/2018;-14.436373;16.488448;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.459494;16.49364;Tick;4;;2020.11.10 M.Sall ;
06/11/2018;-14.423683;16.48917;Tick;30;;2020.11.10 M.Sall ;
06/11/2018;-14.432525;16.485649;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.432477;16.485574;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.432477;16.485574;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.432481;16.48556;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.432481;16.48556;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.432481;16.48556;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.432428;16.485467;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.423738;16.489081;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.424583;16.488928;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.426469;16.488023;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.426387;16.488;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.426847;16.488041;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.426831;16.487976;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.429106;16.4874;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.429039;16.487374;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.428985;16.48734;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.432042;16.486539;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.431642;16.489332;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.430918;16.492603;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.429155;16.48528;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.429104;16.485316;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.432311;16.484767;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.432311;16.484767;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.43245;16.48508;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.433574;16.485675;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.434434;16.484347;Mus musculus;M;;2020.11.10 M.Sall ;
